date,nGenomeCopies,nPopInCatchment,wwDataIsValid,nCases,casesDataIsValid,t
2022-10-19,4.72778013902188e6,1909836,true,2237,true,342
2022-10-20,1.00521352009422e7,1014620,true,2310,true,343
2022-10-21,201394.0,19000,true,2262,true,344
2022-10-22,NaN,,false,2445,true,345
2022-10-23,NaN,,false,2252,true,346
2022-10-24,5.73607197912987e6,1528500,true,1959,true,347
2022-10-25,4.39118516330992e6,1619179,true,3230,true,348
2022-10-26,5.11972604697553e6,2313417,true,3037,true,349
2022-10-27,1.13148839409385e7,1265663,true,3011,true,350
2022-10-28,1.177216076781e7,37900,true,2952,true,351
2022-10-29,NaN,,false,3297,true,352
2022-10-30,1.462104e6,240000,true,3294,true,353
2022-10-31,4.8367745655167e6,2399579,true,3135,true,354
2022-11-01,4.75714734629793e6,1068037,true,2878,true,355
2022-11-02,2.90198717638409e6,2189880,true,2826,true,356
2022-11-03,6.46349209653586e6,944333,true,2989,true,357
2022-11-04,5.45817142857143e6,9100,true,2800,true,358
2022-11-05,NaN,,false,2960,true,359
2022-11-06,6.973955e6,240000,true,3180,true,360
2022-11-07,5.81259082192994e6,2241584,true,3180,true,361
2022-11-08,4.91767433273878e6,1154927,true,2940,true,362
2022-11-09,4.68357514459588e6,1229959,true,2975,true,363
2022-11-10,4.06319877166343e6,1186989,true,3018,true,364
2022-11-11,NaN,,false,2858,true,365
2022-11-12,NaN,,false,3243,true,366
2022-11-13,178607.0,65000,true,3459,true,367
2022-11-14,3.198976479581e6,2664430,true,3483,true,368
2022-11-15,3.673141463164e6,1103160,true,3167,true,369
2022-11-16,3.521462973166e6,3254639,true,3127,true,370
2022-11-17,2.96040104102188e6,1092100,true,2728,true,371
2022-11-18,728036.274087373,16710,true,4459,true,372
2022-11-19,NaN,,false,3658,true,373
2022-11-20,NaN,,false,3650,true,374
2022-11-21,3.43286253006762e6,3874600,true,3873,true,375
2022-11-22,4.09753731946793e6,1138036,true,3778,true,376
2022-11-23,8.69682491530687e6,1139880,true,3653,true,377
2022-11-24,3.74552760803154e6,1048143,true,3718,true,378
2022-11-25,NaN,,false,3651,true,379
2022-11-26,NaN,,false,4178,true,380
2022-11-27,NaN,,false,4439,true,381
2022-11-28,7.32010656795769e6,2730633,true,4873,true,382
2022-11-29,5.6559600949647e6,1135127,true,4864,true,383
2022-11-30,8.91744938119387e6,2993280,true,4946,true,384
2022-12-01,8.2806168636294e6,1063279,true,4761,true,385
2022-12-02,2.0774024e7,4610,true,4678,true,386
2022-12-03,3.124501e6,65000,true,5097,true,387
2022-12-04,1.3887735e7,240000,true,5369,true,388
2022-12-05,1.04302423964531e7,3505030,true,6091,true,389
2022-12-06,8.40726035948679e6,1022427,true,5525,true,390
2022-12-07,1.22915417199491e7,3584259,true,5361,true,391
2022-12-08,1.16224686927304e7,939133,true,5321,true,392
2022-12-09,NaN,,false,5512,true,393
2022-12-10,NaN,,false,5924,true,394
2022-12-11,2.2228867e7,240000,true,6506,true,395
2022-12-12,1.3103524287142e7,3582200,true,6863,true,396
2022-12-13,1.61548191361783e7,1060727,true,6184,true,397
2022-12-14,1.68385897042809e7,3352851,true,6014,true,398
2022-12-15,1.88090496295045e7,974989,true,6186,true,399
2022-12-16,NaN,,false,5473,true,400
2022-12-17,NaN,,false,5890,true,401
2022-12-18,NaN,,false,5512,true,402
2022-12-19,8.62530586877923e6,2850509,true,5556,true,403
2022-12-20,1.11658252859695e7,1125316,true,5048,true,404
2022-12-21,1.05659964094025e7,3276580,true,4532,true,405
2022-12-22,NaN,,false,4419,true,406
2022-12-23,NaN,,false,4170,true,407
2022-12-24,NaN,,false,4333,true,408
2022-12-25,NaN,,false,2975,true,409
2022-12-26,NaN,,false,2646,true,410
2022-12-27,1.7008434e7,240000,true,2998,true,411
2022-12-28,1.1389916e7,368000,true,3888,true,412
2022-12-29,NaN,,false,3625,true,413
2022-12-30,6.61794897757848e6,1115000,true,3410,true,414
2022-12-31,NaN,,false,3491,true,415
2023-01-01,NaN,,false,2412,true,416
2023-01-02,5.60478840397351e6,2265000,true,2023,true,417
2023-01-03,5.389232e6,240000,true,2601,true,418
2023-01-04,4.79716066004415e6,2265000,true,3868,true,419
2023-01-05,6.083496e6,368000,true,3468,true,420
2023-01-06,5.72951891611479e6,2265000,true,3523,true,421
2023-01-07,NaN,,false,3613,true,422
2023-01-08,5.565646e6,240000,true,3134,true,423
2023-01-09,3.42848919181257e6,3581830,true,3177,true,424
2023-01-10,2.35083238112606e6,954120,true,2958,true,425
2023-01-11,2.61917207105919e6,3368741,true,2728,true,426
2023-01-12,3.39984226972132e6,898279,true,2691,true,427
2023-01-13,4.37582779387597e6,244610,true,2642,true,428
2023-01-14,NaN,,false,2474,true,429
2023-01-15,NaN,,false,2206,true,430
2023-01-16,2.16577005560655e6,3566684,true,2369,true,431
2023-01-17,3.92631087642342e6,1200106,true,2177,true,432
2023-01-18,1.72922316743484e6,967660,true,2038,true,433
2023-01-19,5.13739283617386e6,1134709,true,1883,true,434
2023-01-20,NaN,,false,1857,true,435
2023-01-21,NaN,,false,1647,true,436
2023-01-22,NaN,,false,1598,true,437
2023-01-23,1.40732286811433e6,3389830,true,1676,true,438
2023-01-24,2.6830180143645e6,1161196,true,1581,true,439
2023-01-25,3.05064108230936e6,1146759,true,1535,true,440
2023-01-26,2.28018815754461e6,1083674,true,1526,true,441
2023-01-27,772716.23364486,64200,true,1452,true,442
2023-01-28,NaN,,false,1322,true,443
2023-01-29,NaN,,false,1357,true,444
2023-01-30,1.16879252413187e6,3378354,true,1265,true,445
2023-01-31,1.66798720997792e6,1048796,true,1433,true,446
2023-02-01,1.17678633857951e6,1092860,true,1305,true,447
2023-02-02,2.31377900598886e6,735699,true,1269,true,448
2023-02-03,254629.0,31000,true,1204,true,449
2023-02-04,NaN,,false,1289,true,450
2023-02-05,NaN,,false,1031,true,451
2023-02-06,2.44555679587998e6,1116500,true,850,true,452
2023-02-07,2.14080905442959e6,1670819,true,1382,true,453
2023-02-08,1.80191305488145e6,3127341,true,1171,true,454
2023-02-09,3.310575137736e6,1263279,true,1155,true,455
2023-02-10,NaN,,false,1184,true,456
2023-02-11,NaN,,false,1216,true,457
