mean,median,lower,upper,t,date,variable,predictive_lower,predictive_upper
1.0,1.0,1.0,1.0,19,2022-06-19,Wastewater,0.3156373707281608,2.069124719155728
1.0,1.0,1.0,1.0,20,2022-06-20,Wastewater,0.3153725071227625,2.0777061647579753
1.0,1.0,1.0,1.0,21,2022-06-21,Wastewater,0.3112287112073041,2.079203093463993
1.0,1.0,1.0,1.0,22,2022-06-22,Wastewater,0.31497181463754786,2.0813917449520583
1.0,1.0,1.0,1.0,23,2022-06-23,Wastewater,0.3127863970185299,2.081819661205989
1.0,1.0,1.0,1.0,24,2022-06-24,Wastewater,0.31253218734077404,2.0833847860697774
1.0,1.0,1.0,1.0,25,2022-06-25,Wastewater,0.31403119216241204,2.0673207354710326
1.0,1.0,1.0,1.0,26,2022-06-26,Wastewater,0.3142212106088865,2.078634951369958
1.0,1.0,1.0,1.0,27,2022-06-27,Wastewater,0.31427507436729246,2.075808084423191
1.0,1.0,1.0,1.0,28,2022-06-28,Wastewater,0.313289598043747,2.0706690590937655
1.0,1.0,1.0,1.0,29,2022-06-29,Wastewater,0.3158547686810856,2.073358849271774
1.0,1.0,1.0,1.0,30,2022-06-30,Wastewater,0.31363373504706143,2.069275449535707
2.554036986990207e7,2.5315230214166354e7,1.87707698666072e7,3.3467826598955918e7,31,2022-07-01,Wastewater,7.602354243415533e6,5.5289031886137016e7
2.6399961317041885e7,2.6119841249902695e7,2.002077320486184e7,3.407267100925523e7,32,2022-07-02,Wastewater,8.076365990963473e6,5.646433599082368e7
2.7320808372658722e7,2.6989328723260045e7,2.1532138124869272e7,3.448107724566021e7,33,2022-07-03,Wastewater,8.342364356675789e6,5.8356149547479264e7
2.811908332518052e7,2.7760229443318233e7,2.307019110428203e7,3.451761637699255e7,34,2022-07-04,Wastewater,8.661857086470664e6,5.9507425980132245e7
2.87107575861908e7,2.836648892070682e7,2.452899596272205e7,3.415982218429868e7,35,2022-07-05,Wastewater,8.88725231573898e6,6.022461698627932e7
2.9102211355921153e7,2.8824481714445986e7,2.577091623119408e7,3.346890004104114e7,36,2022-07-06,Wastewater,9.058778684506716e6,6.104108194045392e7
2.935110704578083e7,2.91555471623846e7,2.674969971536559e7,3.272130641735115e7,37,2022-07-07,Wastewater,9.237283140123116e6,6.097738812563139e7
2.945221264373288e7,2.93336497892908e7,2.738819021589304e7,3.2041561961780377e7,38,2022-07-08,Wastewater,9.21116015633928e6,6.157250501976452e7
2.9372945562820353e7,2.9309556479365226e7,2.7661806745510392e7,3.1389482740388345e7,39,2022-07-09,Wastewater,9.182482994277539e6,6.144303151547451e7
